fighter_1,fighter_2,winner
Amanda Nunes,Irene Aldana,Amanda Nunes
Charles Oliveira,Beneil Dariush,Charles Oliveira
Mike Malott,Adam Fugitt,Mike Malott
Dan Ige,Nate Landwehr,Dan Ige
Marc-Andre Barriault,Eryk Anders,Marc-Andre Barriault
Nassourdine Imavov,Chris Curtis,Draw
Miranda Maverick,Jasmine Jasudavicius,Jasmine Jasudavicius
Aiemann Zahabi, Aoriqileng,Aiemann Zahabi
Kyle Nelson,Blake Bilder,Kyle Nelson
David Dvorak,Steve Erceg,Steve Erceg
Diana Belbita,Maria Oliveira,Diana Belbita
